drug_name,drug_0,drug_1,drug_2,drug_3,drug_4,drug_5,drug_6,drug_7,drug_8
COPAXONE,1,0,1,0,1,1,1,0,0
CORTICOTROPIN,0,0,0,1,0,0,1,1,0
COSENTYX,0,1,0,1,1,1,0,0,0
CREON,0,0,0,1,0,0,0,0,0
CRESTOR,1,0,0,0,1,1,0,1,1
CREXONT,1,1,1,0,0,1,0,1,1
CRYSVITA,1,1,0,0,1,0,1,1,0
CUBICIN,0,0,1,1,0,0,0,0,1
CYCLOPHOSPHAMIDE,1,0,1,0,0,0,0,0,1
CYCLOSPORINE,0,0,0,1,0,0,0,0,1
CYPROTERONE ACETATE,1,1,0,1,1,1,1,1,1
CYTARABINE,0,1,0,1,1,1,0,0,1
CYTOMEL,0,0,1,1,1,1,1,1,1
DACOMITINIB,1,0,0,1,0,1,0,1,0
DACTINOMYCIN,0,1,0,0,0,1,1,1,1
DAPRODUSTAT,1,0,1,1,0,0,1,1,0
DAPTOMYCIN,0,0,1,0,0,0,1,1,0
DARATUMUMAB,1,0,0,1,1,0,1,1,1
DARATUMUMAB\HYALURONIDASE-FIHJ,0,0,0,1,1,1,1,1,0
DARZALEX,1,0,1,0,1,1,0,1,1
DARZALEX FASPRO,1,0,0,0,0,0,1,0,0
DASATINIB,1,0,0,1,1,1,0,1,0
DATROWAY,1,1,0,0,1,1,1,0,0
DAYBUE,1,0,0,1,1,0,0,1,1
DEFITELIO,1,0,0,0,1,0,1,1,1
DENOSUMAB,1,1,0,0,1,0,0,0,0
DESVENLAFAXINE SUCCINATE,0,1,0,1,0,1,0,0,0
DEXAMETHASONE,0,0,0,0,1,0,0,0,0
DIAZEPAM,1,0,1,0,0,0,0,0,0
DICLOFENAC POTASSIUM,1,0,0,1,1,0,1,0,1
DICLOFENAC SODIUM,0,0,1,0,0,0,0,0,1
DIMETHYL FUMARATE,1,0,1,1,1,1,0,0,0
DOCETAXEL,0,0,0,0,0,0,1,1,0
DOCIVYX,0,1,0,0,0,1,1,1,0
DOLUTEGRAVIR,1,1,0,0,0,1,0,0,1
DOXORUBICIN HYDROCHLORIDE,1,1,0,1,0,0,1,1,1
DOXYCYCLINE,0,0,1,1,1,0,0,1,1
DOXYLAMINE SUCCINATE,1,0,1,1,1,0,1,1,0
DUAC,1,0,0,0,1,0,0,1,0
DULOXETINE,0,0,0,0,0,0,1,0,1
DULOXETINE HYDROCHLORIDE,0,1,0,0,0,1,0,1,1
DUPILUMAB,0,0,1,0,1,0,0,1,1
DUPIXENT,0,0,0,0,0,0,0,0,1
DYSPORT,1,0,1,0,1,1,0,1,0
EBGLYSS,1,0,0,0,1,1,0,1,0
EFGARTIGIMOD ALFA,1,0,1,0,1,0,0,0,1
ELELYSO,1,1,0,0,1,0,1,1,1
ELEXACAFTOR\IVACAFTOR\TEZACAFTOR,0,0,1,0,0,1,1,0,0
ELMIRON,0,1,1,0,0,0,1,0,0
ELRANATAMAB,1,1,1,0,0,0,0,1,1
ENBREL,1,0,0,0,1,1,1,0,0
